azureLocation,Type,block_face_key,WKT
E F ST-S 1ST AVE-W G ST_NORTHEAST,,E F ST-S 1ST AVE-W G ST_NORTHEAST,"LineString (-120.84948756 37.76548346, -120.84883957 37.76451151)"
LOTTIE ST-N 1ST AVE-S 1ST AVE_NORTHEAST,,LOTTIE ST-N 1ST AVE-S 1ST AVE_NORTHEAST,"LineString (-120.84961077 37.76567382, -120.84986299 37.76607086)"
N 2ND AVE-E F ST-S 1ST AVE_NORTHWEST,,N 2ND AVE-E F ST-S 1ST AVE_NORTHWEST,"LineString (-120.84954492 37.76565503, -120.8489314 37.76591174)"
E E ST-N 2ND AVE-E F ST_SOUTHWEST,,E E ST-N 2ND AVE-E F ST_SOUTHWEST,"LineString (-120.84893532 37.76597523, -120.84956325 37.76693605)"
N 2ND AVE-E E ST-N 1ST AVE_SOUTHEAST,,N 2ND AVE-E E ST-N 1ST AVE_SOUTHEAST,"LineString (-120.8501735 37.76672659, -120.84964541 37.76694269)"
N 3RD AVE-E E ST-N 2ND AVE_NORTHWEST,,N 3RD AVE-E E ST-N 2ND AVE_NORTHWEST,"LineString (-120.84947069 37.76717913, -120.84890874 37.76741767)"
E D ST-N 2ND AVE-E E ST_NORTHEAST,,E D ST-N 2ND AVE-E E ST_NORTHEAST,"LineString (-120.84953481 37.76720113, -120.8501812 37.76816653)"
N 3RD AVE-E D ST-N 2ND AVE_SOUTHEAST,,N 3RD AVE-E D ST-N 2ND AVE_SOUTHEAST,"LineString (-120.85015784 37.76821549, -120.84954614 37.76846871)"
N 3RD AVE-E D ST-N 2ND AVE_NORTHWEST,,N 3RD AVE-E D ST-N 2ND AVE_NORTHWEST,"LineString (-120.85023609 37.76835641, -120.84964017 37.76860786)"
E C ST-N 3RD AVE-E D ST_SOUTHWEST,,E C ST-N 3RD AVE-E D ST_SOUTHWEST,"LineString (-120.84962146 37.76865977, -120.85026566 37.7696208)"
E C ST-N 3RD AVE-E D ST_NORTHEAST,,E C ST-N 3RD AVE-E D ST_NORTHEAST,"LineString (-120.84945009 37.76872476, -120.85009948 37.7696924)"
S 2ND AVE-E G ST-W G ST_SOUTHEAST,,S 2ND AVE-E G ST-W G ST_SOUTHEAST,"LineString (-120.84867411 37.76437482, -120.84806865 37.76462697)"
S 2ND AVE-E G ST-W G ST_NORTHWEST,,S 2ND AVE-E G ST-W G ST_NORTHWEST,"LineString (-120.84876255 37.76450299, -120.84816453 37.76474967)"
S 3RD AVE-E G ST-S 2ND AVE_SOUTHEAST,,S 3RD AVE-E G ST-S 2ND AVE_SOUTHEAST,"LineString (-120.8478359 37.76472422, -120.84721919 37.76498168)"
S 3RD AVE-E G ST-S 2ND AVE_NORTHWEST,,S 3RD AVE-E G ST-S 2ND AVE_NORTHWEST,"LineString (-120.84790314 37.76485837, -120.84730839 37.7651066)"
S YOSEMITE AVE-E G ST-S 3RD AVE_SOUTHEAST,,S YOSEMITE AVE-E G ST-S 3RD AVE_SOUTHEAST,"LineString (-120.84694492 37.7650999, -120.84635977 37.76534586)"
N 3RD AVE-S 3RD AVE-E G ST_SOUTHWEST,,N 3RD AVE-S 3RD AVE-E G ST_SOUTHWEST,"LineString (-120.84793204 37.76613084, -120.84728826 37.76517369)"
N 2ND AVE-E F ST-S 1ST AVE_SOUTHEAST,,N 2ND AVE-E F ST-S 1ST AVE_SOUTHEAST,"LineString (-120.84947605 37.76555264, -120.84886123 37.76580521)"
S SIERRA AVE-E G ST-399 G ST_SOUTHEAST,,S SIERRA AVE-E G ST-399 G ST_SOUTHEAST,"LineString (-120.84567841 37.76562521, -120.84534767 37.76576423)"
N 3RD AVE-S 3RD AVE-E G ST_NORTHEAST,,N 3RD AVE-S 3RD AVE-E G ST_NORTHEAST,"LineString (-120.84776938 37.76619335, -120.84713777 37.76523226)"
S SIERRA AVE-E G ST-399 G ST_NORTHWEST,,S SIERRA AVE-E G ST-399 G ST_NORTHWEST,"LineString (-120.84577261 37.76575975, -120.84544226 37.76590154)"
N 3RD AVE-E F ST-N 2ND AVE_SOUTHEAST,,N 3RD AVE-E F ST-N 2ND AVE_SOUTHEAST,"LineString (-120.84858489 37.76589512, -120.84799681 37.76614114)"
N 3RD AVE-E F ST-N 2ND AVE_NORTHWEST,,N 3RD AVE-E F ST-N 2ND AVE_NORTHWEST,"LineString (-120.84869549 37.7660109, -120.84806748 37.76627252)"
N YOSEMITE AVE-E F ST-N 3RD AVE_SOUTHEAST,,N YOSEMITE AVE-E F ST-N 3RD AVE_SOUTHEAST,"LineString (-120.84774849 37.76624595, -120.84713912 37.76650443)"
N YOSEMITE AVE-E F ST-N 3RD AVE_NORTHWEST,,N YOSEMITE AVE-E F ST-N 3RD AVE_NORTHWEST,"LineString (-120.84782655 37.76637966, -120.84722416 37.76663637)"
E E ST-N 2ND AVE-E F ST_NORTHEAST,,E E ST-N 2ND AVE-E F ST_NORTHEAST,"LineString (-120.84876235 37.76602588, -120.84940835 37.76700448)"
E E ST-N 3RD AVE-E F ST_SOUTHWEST,,E E ST-N 3RD AVE-E F ST_SOUTHWEST,"LineString (-120.84809129 37.76636746, -120.84866389 37.76722318)"
E E ST-N 3RD AVE-E F ST_NORTHEAST,,E E ST-N 3RD AVE-E F ST_NORTHEAST,"LineString (-120.84796758 37.76649451, -120.84854279 37.76735851)"
E E ST-N YOSEMITE AVE-S YOSEMITE AVE_SOUTHWEST,,E E ST-N YOSEMITE AVE-S YOSEMITE AVE_SOUTHWEST,"LineString (-120.84720693 37.76669345, -120.84785331 37.76765886)"
E E ST-N YOSEMITE AVE-S YOSEMITE AVE_NORTHEAST,,E E ST-N YOSEMITE AVE-S YOSEMITE AVE_NORTHEAST,"LineString (-120.84703237 37.76682428, -120.84767105 37.76774074)"
E E ST-N SIERRA AVE-E F ST_SOUTHWEST,,E E ST-N SIERRA AVE-E F ST_SOUTHWEST,"LineString (-120.84621059 37.76709362, -120.84681519 37.76797691)"
N YOSEMITE AVE-E E ST-N 3RD AVE_SOUTHEAST,,N YOSEMITE AVE-E E ST-N 3RD AVE_SOUTHEAST,"LineString (-120.84843012 37.7674543, -120.8479083 37.76767445)"
E E ST-N SIERRA AVE-E F ST_NORTHEAST,,E E ST-N SIERRA AVE-E F ST_NORTHEAST,"LineString (-120.84605925 37.76716192, -120.84670421 37.76813311)"
N YOSEMITE AVE-E E ST-N 3RD AVE_NORTHWEST,,N YOSEMITE AVE-E E ST-N 3RD AVE_NORTHWEST,"LineString (-120.84852757 37.76758067, -120.84800316 37.76780225)"
E D ST-N 3RD AVE-E E ST_SOUTHWEST,,E D ST-N 3RD AVE-E E ST_SOUTHWEST,"LineString (-120.84884749 37.76750717, -120.84949145 37.76845132)"
E D ST-N 3RD AVE-E E ST_NORTHEAST,,E D ST-N 3RD AVE-E E ST_NORTHEAST,"LineString (-120.8486956 37.76757688, -120.84932275 37.76852691)"
N YOSEMITE AVE-E D ST-N 3RD AVE_SOUTHEAST,,N YOSEMITE AVE-E D ST-N 3RD AVE_SOUTHEAST,"LineString (-120.84929817 37.76858297, -120.8487007 37.76884284)"
N YOSEMITE AVE-E D ST-N 3RD AVE_NORTHWEST,,N YOSEMITE AVE-E D ST-N 3RD AVE_NORTHWEST,"LineString (-120.84939326 37.76870643, -120.84878437 37.76896119)"
LOT 3,,LOT 3,"Polygon ((-120.84835084 37.7679715, -120.84821724 37.76774497, -120.84802556 37.76783326, -120.84816497 37.76805166, -120.84835084 37.7679715))"
LOT 2,,LOT 2,"Polygon ((-120.84949744 37.76778214, -120.84929763 37.76748242, -120.84915358 37.76752889, -120.84904902 37.76737787, -120.84887477 37.76744989, -120.84917449 37.76789599, -120.84949744 37.76778214))"
LOT 1,,LOT 1,"Polygon ((-120.84908387 37.76823985, -120.84897003 37.76804236, -120.84863778 37.76817247, -120.84877021 37.76836532, -120.84908387 37.76823985))"
LOT 7,,LOT 7,"Polygon ((-120.84894342 37.76476178, -120.84864417 37.76489357, -120.84870342 37.76499057, -120.84841309 37.76510839, -120.84857837 37.76538294, -120.84918576 37.76512569, -120.84894342 37.76476178))"
LOT 6,,LOT 6,"Polygon ((-120.84731344 37.76725008, -120.84712292 37.76695036, -120.84685805 37.76705259, -120.84705089 37.76736161, -120.84731344 37.76725008))"
LOT 5,,LOT 5,"Polygon ((-120.84900255 37.7664973, -120.84872607 37.76661812, -120.8485704 37.76639507, -120.84884456 37.76627425, -120.84900255 37.7664973))"
LOT 4,,LOT 4,"Polygon ((-120.84849373 37.76738252, -120.84818007 37.76689692, -120.84785247 37.76704795, -120.84797096 37.76725008, -120.84808016 37.76720594, -120.84826371 37.76747081, -120.84849373 37.76738252))"
LOT 10,,LOT 10,"Polygon ((-120.84514338 37.76508235, -120.84491104 37.76517063, -120.84464849 37.76475939, -120.84486922 37.76466646, -120.84514338 37.76508235))"
LOT 9,,LOT 9,"Polygon ((-120.846089 37.76540995, -120.84576373 37.7655447, -120.8451062 37.76456887, -120.84535016 37.76447826, -120.84565453 37.76497547, -120.84578696 37.76492203, -120.846089 37.76540995))"
LOT 8,,LOT 8,"Polygon ((-120.84542916 37.76689925, -120.84528975 37.76695501, -120.84516429 37.7667552, -120.84560109 37.76655771, -120.84568706 37.76669479, -120.84537572 37.76682722, -120.84542916 37.76689925))"
